"MSA","Mean","SD","CV","HPDI"
"MSA_1",0.0266372238487861,0.035641781524475,1.33804414930046,"(-0.0508, 0.0916)"
"MSA_2",0.0139159621729873,0.0386683070556709,2.77870165030565,"(-0.0624, 0.0914)"
"MSA_3",0.00330713719941898,0.0339507005141688,10.2658881282983,"(-0.0575, 0.0722)"
"MSA_4",-0.00936159459144617,0.0342746789135124,3.66120093950978,"(-0.0743, 0.0591)"
"MSA_5",-0.00311980184636687,0.0331926501809719,10.6393456429376,"(-0.0659, 0.0612)"
"MSA_6",-0.00967001818497025,0.0328518735642945,3.39729180813279,"(-0.0669, 0.0584)"
"MSA_7",-0.023458333028084,0.0319822224052477,1.36336296219169,"(-0.0850, 0.0358)"
"MSA_8",-0.0526181058642255,0.0351727254855541,0.668452900534142,"(-0.1175, 0.0182)"
"MSA_9",-0.019667891430027,0.0328780102626617,1.67165912927843,"(-0.0865, 0.0438)"
"MSA_10",-0.0120118205190866,0.0325294842744245,2.7081227381591,"(-0.0713, 0.0514)"
"MSA_11",-0.0774383711731623,0.0345598202000858,0.446288056896309,"(-0.1494, -0.0137)"
"MSA_12",-0.077633167505449,0.0363969095585404,0.468831953249695,"(-0.1497, -0.0074)"
"MSA_13",-0.107865452738896,0.0338298655690482,0.313630219037213,"(-0.1753, -0.0425)"
"MSA_14",0.0270358345172178,0.0365996119393086,1.35374448737656,"(-0.0373, 0.1026)"
"MSA_15",0.0274088922551828,0.0349161682747484,1.27389928602992,"(-0.0406, 0.0925)"
"MSA_16",0.00915309412079846,0.0345868825936926,3.77870937818735,"(-0.0621, 0.0753)"
"MSA_17",0.0258934943107814,0.0325561542452663,1.25731018975337,"(-0.0357, 0.0915)"
"MSA_18",-0.0124564776173204,0.0337439569356027,2.70894854647214,"(-0.0787, 0.0494)"
"MSA_19",0.0382844182383995,0.0350175930397893,0.914669587552108,"(-0.0286, 0.1044)"
"MSA_20",-0.00827944201555026,0.0318839058079085,3.85097277667081,"(-0.0697, 0.0516)"
